#DatabaseID	DiseaseName
OMIM_620005	Primordial dwarfism-immunodeficiency-lipodystrophy syndrome
OMIM_612528	Diamond-Blackfan anemia 5
OMIM_163950	Noonan syndrome 1
OMIM_605285	Neuropathy, hereditary motor and sensory, Russe type
OMIM_611561	Meckel syndrome, type 5
OMIM_113450	Brachydactyly-Distal symphalangism syndrome
OMIM_615935	Pancreatic agenesis 2
OMIM_615348	Nemaline myopathy 8
OMIM_619238	Immunodeficiency 79
OMIM_616321	Myasthenic syndrome, congenital, 3A, slow-channel
OMIM_619736	Teebi hypertelorism syndrome 2
OMIM_605711	Multiple mitochondrial dysfunctions syndrome 1
OMIM_182260	Slipped femoral capital epiphyses
OMIM_616898	Chromosome 15q14 deletion syndrome
OMIM_608890	Waardenburg syndrome, type 2D
OMIM_159550	Ataxia-Pancytopenia syndrome
OMIM_619166	Mitochondrial complex II deficiency, nuclear type 2
OMIM_164900	Ophthalmomandibulomelic dysplasia
OMIM_612076	Hypouricemia, renal, 2
OMIM_225310	Ehlers-Danlos syndrome with platelet dysfunction from fibronectin abnormality
OMIM_175800	Porokeratosis 1, multiple types
OMIM_609706	Deafness, autosomal recessive 53
DECIPHER_58	Leri-Weill dyschondrostosis (LWD) - SHOX deletion
OMIM_138770	Gms syndrome
OMIM_239200	Hyperparathyroidism, neonatal severe
OMIM_226735	Epidermolysis bullosa with diaphragmatic hernia
OMIM_615861	Familial idiopathic steroid-resistant nephrotic syndrome
OMIM_218330	Cranioectodermal dysplasia
OMIM_603278	Focal segmental glomerulosclerosis 1
OMIM_613849	Osteogenesis imperfecta, type XII
OMIM_613244	Colorectal cancer, hereditary nonpolyposis, type 8
OMIM_300707	Toe syndactyly, telecanthus, and anogenital and renal malformations
OMIM_618013	Deafness, autosomal recessive 109
OMIM_192950	Vertical talus, congenital
OMIM_615043	Spastic paraplegia 43, autosomal recessive
OMIM_606232	Phelan-Mcdermid syndrome
OMIM_611584	Waardenburg syndrome, type 2E
OMIM_616267	Ataxia-Oculomotor apraxia 4
OMIM_300194	AMME complex
OMIM_141350	Hemifacial hyperplasia with strabismus
OMIM_306300	Granulomas, congenital cerebral
OMIM_619475	Developmental delay, impaired speech, and behavioral abnormalities
OMIM_133240	Esophageal ring, lower
OMIM_182200	Sella turcica, bridged
OMIM_620067	Cardiac valvular dysplasia 2
OMIM_164220	Schilbach-Rott syndrome
OMIM_258501	3-methylglutaconic aciduria, type III
OMIM_617524	Erythrokeratodermia variabilis et progressiva 2
OMIM_613550	Nephronophthisis 11
OMIM_301940	Brachydactyly, Mononen type
OMIM_618681	Lessel-Kubisch syndrome
OMIM_208230	Arthropathy, progressive pseudorheumatoid, of childhood
OMIM_113100	Brachydactyly, type C
OMIM_137900	Globulin anomaly involving beta (2a)-globulin
OMIM_300500	Albinism, ocular, type I
OMIM_617468	Arthrogryposis multiplex congenita, neurogenic, with myelin defect
OMIM_614415	Chilblain lupus 2
OMIM_600496	Maturity-onset diabetes of the young, type III
OMIM_302700	Cerebral sclerosis, diffuse, Scholz type
OMIM_610427	Cone-Rod synaptic disorder, congenital nonprogressive
OMIM_250250	Cartilage-hair hypoplasia
OMIM_300262	X-LINKED intellectual disability, Abidi type
OMIM_618969	Immunodeficiency 70
OMIM_615219	Hydrocephalus, congenital, 2, with or without brain or eye anomalies
OMIM_151610	Levator-Medial rectus synkinesis
OMIM_156520	Metatarsus varus, type I
OMIM_269921	Sialuria
OMIM_184260	Osteochondrodysplasia
OMIM_616781	Joubert syndrome 25
OMIM_619130	Thrombocytopenia, autosomal dominant, 7
OMIM_169100	Char syndrome
OMIM_613077	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 5
OMIM_612437	Epilepsy, progressive myoclonic 1B
OMIM_219900	Cystinosis, late-onset juvenile or adolescent nephropathic
OMIM_616311	Intellectual developmental disorder, autosomal dominant 33
OMIM_608540	Congenital disorder of glycosylation, type Ik
OMIM_206000	Anemia, sideroblastic, pyridoxine-responsive, autosomal recessive
OMIM_241800	Hypothalamic hamartomascongenital hypothalamic hamartoma syndrome, included
OMIM_610333	Aicardi-Goutieres syndrome 4
OMIM_602629	Dystonia 6, torsion
OMIM_612908	Keratosis palmoplantaris striata II
OMIM_126600	Doyne honeycomb retinal dystrophy
OMIM_617763	Short stature, hearing loss, retinitis pigmentosa, and distinctive facies
OMIM_602032	Ectodermal dysplasia 4, Hair/nail type
OMIM_175500	Polyposis, skin pigmentation, alopecia, and fingernail changes
OMIM_618345	Retinitis pigmentosa 85
OMIM_619382	Leber hereditary optic neuropathy, autosomal recessive
OMIM_134300	Facial spasm
OMIM_605355	Nemaline myopathy 5, Amish type
OMIM_618841	Hypogonadotropic hypogonadism 25 with anosmia
OMIM_618992	Muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type B, 15
OMIM_300554	Hypophosphatemic rickets, X-linked recessive
OMIM_145420	Teebi hypertelorism syndrome 1
OMIM_618475	Paragangliomas 7
OMIM_614896	Sinoatrial node dysfunction and deafness
OMIM_611105	Leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation
OMIM_606367	Immunodeficiency 41 with lymphoproliferation and autoimmunity
OMIM_188800	Tibial torsion, bilateral medial
OMIM_613282	Fatty liver disease, nonalcoholic, susceptibility to, 1
OMIM_123400	Creutzfeldt-Jakob disease
OMIM_613789	Complement component 8 deficiency, type II
OMIM_211890	Campomelia, Cumming type
OMIM_301076	Intellectual developmental disorder, X-linked, syndromic, Pilorge type
OMIM_619028	Coenzyme Q10 deficiency, primary, 9
OMIM_157900	Moebius syndrome
OMIM_618875	Seizures, early-onset, with neurodegeneration and brain calcification
OMIM_617137	Frontometaphyseal dysplasia 2
OMIM_264110	Prolactin deficiency, isolated
OMIM_155600	Melanoma, cutaneous malignant
OMIM_619345	Dysostosis multiplex, Ain-Naz type
OMIM_234000	Factor XII deficiency
OMIM_102000	Acroleukopathy, symmetric
OMIM_615872	Ciliary dyskinesia, primary, 29
OMIM_611875	Brugada syndrome 3
OMIM_618245	Mitochondrial complex I deficiency, nuclear type 24
OMIM_619016	Ichthyosis, follicular, with atrichia and photophobia syndrome 2
OMIM_613643	Parkinson disease 5, susceptibility to
OMIM_177200	Liddle syndrome 1
OMIM_608673	Charcot-Marie-Tooth disease, axonal, type 2L
OMIM_605820	Nonaka myopathy
OMIM_614496	Pseudohypoaldosteronism, type IIE
OMIM_301075	Myopathy, distal, 7, adult-onset, X-linked
OMIM_614866	Peroxisome biogenesis disorder 5A (Zellweger)
OMIM_254770	Myoclonic epilepsy, juvenile, susceptibility to, 1
OMIM_109650	Behcet syndrome
OMIM_620094	Neurodevelopmental disorder with eye movement abnormalities and ataxia
OMIM_608264	Deafness, congenital neurosensory, autosomal recessive 40
OMIM_614619	Hyperekplexia 2
OMIM_617383	Avascular necrosis of femoral head, primary, 2
OMIM_614305	Sclerosteosis 2
OMIM_611890	Congenital arthrogryposis with anterior horn cell disease
OMIM_615599	Neurodevelopmental disorder with feeding difficulties, thin corpus callosum, and foot deformity
OMIM_619743	Combined oxidative phosphorylation deficiency 55
OMIM_614564	Cutaneous telangiectasia and cancer syndrome, familial
OMIM_607625	Niemann-pick disease, type C2
OMIM_607091	Congenital disorder of glycosylation, type IID
OMIM_300843	Bornholm eye disease
OMIM_264180	Pseudodiastrophic dysplasia
OMIM_309800	Microphthalmia, syndromic 1
OMIM_125600	Dermatosis papulosa nigra
OMIM_613443	Neurodevelopmental disorder with hypotonia, stereotypic hand movements, and impaired language
OMIM_157400	Milia, multiple eruptive
OMIM_614492	Pseudohypoaldosteronism, type IIC
OMIM_617591	Proteasome-Associated autoinflammatory syndrome 3
OMIM_610618	Angioedema, hereditary, 3
OMIM_616544	Retinitis pigmentosa 73
OMIM_619155	Nephrotic syndrome, type 22
OMIM_614418	Febrile seizures, familial, 11
OMIM_612529	Amelogenesis imperfecta, hypomaturation type, iia2
OMIM_226730	Epidermolysis bullosa, junctional, with pyloric atresia
OMIM_241500	Hypophosphatasia, infantile
OMIM_236795	3-hydroxyisobutyric aciduria
OMIM_309555	Mental retardation with optic atrophy, deafness, and seizures
OMIM_613412	Esophagitis, eosinophilic, 2
OMIM_246450	3-Hydroxy-3-Methylglutaryl-Coa lyase deficiency
OMIM_618027	Coffin-Siris syndrome 7
OMIM_600399	Pectus excavatum, macrocephaly, short stature, and dysplastic nails
OMIM_275210	Restrictive dermopathy 1
OMIM_236600	Hydrocephalus, nonsyndromic, autosomal recessive 1
OMIM_617744	Immunodeficiency, developmental delay, and hypohomocysteinemia
OMIM_609796	Peeling skin syndrome, Acral type
OMIM_616340	Deafness, autosomal dominant 67
OMIM_217600	Corneal dystrophy, Central type
OMIM_618400	Charcot-Marie-Tooth disease, axonal, type 2EE
OMIM_131750	Epidermolysis bullosa dystrophica, autosomal dominant
OMIM_300425	Autism susceptibility, X-linked 1
OMIM_607859	Angioma, tufted
OMIM_614465	Joubert syndrome 16
OMIM_604169	Left ventricular noncompaction 1
OMIM_608703	Spinocerebellar ataxia 25
OMIM_615546	Van maldergem syndrome 2
OMIM_121200	Seizures, benign familial neonatal, 1
OMIM_600886	Hyperferritinemia with or without cataract
OMIM_617123	Retinitis pigmentosa 76
OMIM_619145	Spermatogenic failure 50
OMIM_615440	Combined oxidative phosphorylation deficiency 17
OMIM_307830	Hypouricemia, familial renal, due to tubular hypersecretion
OMIM_616307	Senior-Loken syndrome 8
OMIM_276821	Ulnar hypoplasia with mental retardation
OMIM_188400	Digeorge syndrome
OMIM_616266	Congenital contractures of the limbs and face, hypotonia, and developmental delay
OMIM_613559	Combined oxidative phosphorylation deficiency 7
OMIM_619981	Braddock-Carey syndrome 2
OMIM_203740	Alpha-Ketoglutarate dehydrogenase deficiency
OMIM_619927	Intellectual developmental disorder, autosomal dominant 67
OMIM_313490	Taurodontism, microdontia, and dens invaginatus
OMIM_613865	Deafness, autosomal recessive 61
OMIM_100200	Abducens palsy
OMIM_619911	Intellectual developmental disorder with language impairment and early-onset DOPA-responsive dystonia-parkinsonism
OMIM_619244	Neurodevelopmental disorder with cerebral atrophy and variable facial dysmorphism
OMIM_276600	Tyrosine transaminase deficiency
DECIPHER_37	3q29 microdeletion syndrome
OMIM_213200	Spinocerebellar ataxia, autosomal recessive 2
OMIM_607906	Congenital disorder of glycosylation, type Ii
OMIM_615513	Immunodeficiency 14
OMIM_617660	Vertebral, cardiac, renal, and limb defects syndrome 1
OMIM_617772	Deafness, autosomal dominant 34, with or without inflammation
OMIM_300555	Dent disease 2
OMIM_616280	Charcot-Marie-Tooth disease, axonal, type 2U
OMIM_614369	Peripheral neuropathy, myopathy, hoarseness, and hearing loss
DECIPHER_31	Hereditary Liability to Pressure Palsies (HNPP)
OMIM_210050	Berry aneurysm, cirrhosis, pulmonary emphysema, and cerebral calcification
OMIM_302801	Charcot-Marie-Tooth disease, X-linked recessive, 2
OMIM_613320	Spondylometaphyseal dysplasia, Megarbane-Dagher-Melki type
OMIM_615011	Phosphohydroxylysinuria
OMIM_266265	Congenital disorder of glycosylation, type IIc
OMIM_249420	Frank-ter Haar syndrome
OMIM_619437	Immunodeficiency 84
OMIM_618752	Neutropenia, severe congenital, 8, autosomal dominant
OMIM_607323	Duane-Radial ray syndrome
OMIM_613211	Amelogenesis imperfecta, hypomaturation type, iia3
OMIM_611773	Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps
OMIM_608807	Muscular dystrophy, limb-girdle, autosomal recessive 10
OMIM_612020	Spastic paraplegia 39, autosomal recessive
OMIM_618314	Hypomagnesemia, seizures, and mental retardation 2
OMIM_226150	ENTEROCOLITIS
OMIM_609622	Short QT syndrome 3
OMIM_615072	Brachydactyly, type A1, C
OMIM_255320	Minicore myopathy with external ophthalmoplegia
OMIM_620009	Keratoderma-ichthyosis-deafness syndrome, autosomal recessive
OMIM_607832	Focal segmental glomerulosclerosis 3, susceptibility to
OMIM_267300	Renal tubular acidosis, distal, with progressive nerve deafness
OMIM_614346	Mental retardation, autosomal recessive 25
OMIM_618732	Poirier-Bienvenu neurodevelopmental syndrome
OMIM_616063	Porokeratosis 8, disseminated superficial Actinic type
OMIM_113301	Brachydactyly, type e, with atrial septal defect, type II
OMIM_618339	Infantile cataract, skin abnormalities, glutamate excess, and impaired intellectual development
OMIM_600156	Hirschsprung disease, susceptibility to, 5
OMIM_619777	Developmental and epileptic encephalopathy 100
OMIM_607131	Al-Gazali-Bakalinova syndrome
OMIM_614727	Congenital disorder of glycosylation, type IIK
OMIM_619665	Ovarian dysgenesis 9
OMIM_617519	Neurodevelopmental disorder with hypotonia, neuropathy, and deafness
OMIM_615023	Ichthyosis, congenital, autosomal recessive 9
OMIM_615352	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 14
OMIM_175750	Popliteal cyst
OMIM_121300	Coproporphyria
OMIM_607498	Migraine with or without aura, susceptibility to, 3
OMIM_614607	Coffin-Siris syndrome 2
OMIM_278150	Hypotrichosis 8
OMIM_614563	Intellectual developmental disorder, autosomal dominant 13
OMIM_609727	Spastic paraplegia 29, autosomal dominant
OMIM_415000	Spermatogenic failure, Y-linked, 2
OMIM_246560	Split-Hand/foot malformation 3
OMIM_301082	Immunodeficiency 102
OMIM_619957	Attention deficit-hyperactivity disorder 8
OMIM_613078	Nijmegen breakage syndrome-like disorder
OMIM_264470	Peroxisomal acyl-CoA oxidase deficiency
OMIM_128710	Ear pits, posterior helical
OMIM_605899	Glycine encephalopathy
OMIM_278250	Wrinkly skin syndrome
OMIM_114030	Cafe-Au-Lait spots, multiple
OMIM_600643	Caroli disease, isolated
OMIM_253590	Muscular dystrophy, adult-onset, with leukoencephalopathy
OMIM_301015	Hemolytic anemia, congenital, X-linked
OMIM_614753	Malan syndrome
OMIM_127820	Dysplasia epiphysealis hemimelica with chondromas and osteochondromas
OMIM_618591	Short sleep, familial natural, 2
OMIM_134900	Fibrinolytic defect
OMIM_230800	Gaucher disease, type I
OMIM_617762	Leukodystrophy, progressive, early childhood-onset
OMIM_606660	Uveal melanoma, susceptibility to, 1
OMIM_613819	Short-Rib thoracic dysplasia 4 with or without polydactyly
OMIM_613757	Macular degeneration, age-related, 6
OMIM_619836	Hypoalphalipoproteinemia, primary, 2, intermediate
OMIM_603467	Fanconi anemia, complementation group F
OMIM_609640	Frias syndrome
OMIM_160010	Myoglobinuria, autosomal dominant
OMIM_612577	Amyotrophic lateral sclerosis 11
OMIM_619691	Trichothiodystrophy 8, nonphotosensitive
OMIM_143465	Attention deficit-hyperactivity disorder
OMIM_606843	Immunodeficiency with hyper-igm, type 3
OMIM_219300	Cutis verticis gyrata and mental deficiency
OMIM_120040	Cochleosaccular degeneration of the inner ear with progressive cataracts
OMIM_600335	Succinic acidemia
OMIM_609055	Ceroid lipofuscinosis, neuronal, 9
OMIM_600123	Atrioventricular septal defect with blepharophimosis and anal andradial defects
OMIM_253310	Lethal congenital contracture syndrome 1
OMIM_264090	Wiedemann-Rautenstrauch syndrome
OMIM_616490	Joubert syndrome 23
OMIM_300645	Atypical mycobacteriosis, familial, X-linked 2
OMIM_106700	Total anomalous pulmonary venous return 1
OMIM_115210	Cardiomyopathy, familial restrictive, 1
OMIM_617921	Amyotrophic lateral sclerosis, susceptibility to, 25
OMIM_614561	Leukoencephalopathy, brain calcifications, and cysts
OMIM_607634	Osteopetrosis, autosomal dominant 1
OMIM_618481	Deafness, autosomal recessive 99
OMIM_169600	Benign chronic pemphigus
OMIM_619638	Spondylometaphyseal dysplasia, Pagnamenta type
OMIM_615673	Myopathy with extrapyramidal signs
OMIM_601665	OBESITY
OMIM_610158	Corneal dystrophy, fuchs endothelial, 2
OMIM_610978	Choreoathetosis, hypothyroidism, and neonatal respiratory distress
OMIM_236130	HOMOCARNOSINOSIS
OMIM_609634	Migraine, familial hemiplegic, 3
OMIM_264010	Prader-Willi habitus, osteopenia, and camptodactyly
OMIM_177050	Protrusio acetabuli
OMIM_606705	Deafness, autosomal dominant 36
OMIM_104530	Amelogenesis imperfecta, type IA
OMIM_604536	Ectodermal dysplasia/skin fragility syndrome
OMIM_617938	Developmental and epileptic encephalopathy 62
OMIM_616541	Short stature, microcephaly, and endocrine dysfunction
OMIM_609428	Tukel syndrome
OMIM_307800	Hypophosphatemic rickets, X-linked dominant
OMIM_261000	Intrinsic factor deficiency
OMIM_606943	Usher syndrome, type IG
OMIM_617070	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 4
OMIM_616331	Robinow syndrome, autosomal dominant 2
OMIM_613672	Spastic ataxia 4, autosomal recessive
OMIM_614018	Epilepsy, progressive myoclonic, 6
OMIM_117000	Central core disease
OMIM_275200	Hypothyroidism, congenital, nongoitrous, 1
OMIM_269720	Seizures, benign familial neonatal, autosomal recessive
OMIM_615668	Chromosome 5q12 deletion syndrome
OMIM_300577	Mental retardation, X-linked 91
OMIM_107480	Townes-Brocks syndrome 1
OMIM_179800	Renal tubular acidosis, distal, autosomal dominant
OMIM_610204	Pontocerebellar hypoplasia, type 5
OMIM_602089	Hemangioma, capillary infantile
OMIM_175860	Porokeratosis punctata palmaris et plantaris
OMIM_300216	Coats disease
OMIM_616357	Deafness, autosomal dominant 40
OMIM_612952	Aicardi-Goutieres syndrome 5
OMIM_132400	Epiphyseal dysplasia, multiple, 1
OMIM_613224	Noonan syndrome 6
OMIM_616580	Au-Kline syndrome
OMIM_609813	Spondylocostal dysostosis 3, autosomal recessive
OMIM_182990	Spinal intradural arachnoid cysts
OMIM_612657	Cone-rod dystrophy 12
OMIM_105300	Amyotrophic dystonic paraplegia
OMIM_613762	46,xy sex reversal 6
OMIM_227600	Factor X deficiency
OMIM_610187	Diaphragmatic hernia 3
OMIM_615735	Palmoplantar keratoderma, nonepidermolytic, focal or diffuse
OMIM_157150	Microspherophakia with hernia
OMIM_608363	Chromosome 22q11.2 duplication syndrome
OMIM_619173	Neurodegeneration, childhood-onset, hypotonia, respiratory insufficiency and brain imaging abnormalities
OMIM_616564	Noonan syndrome 10
OMIM_165150	Ophthalmoplegia, progressive, with scrotal tongue and mental deficiency
OMIM_308200	Ichthyosis and male hypogonadism
OMIM_618654	Myopathy, congenital with structured cores and Z-line abnormalities
OMIM_615905	Epileptic encephalopathy, early infantile, 25, with amelogenesis imperfecta
OMIM_117650	Cerebrocostomandibular syndrome
OMIM_601390	Van Maldergem syndrome 1
OMIM_300433	Mental retardation, X-linked 81
OMIM_187395	Teratocarcinoma-Derived growth factor 1
OMIM_616158	Mental retardation, autosomal dominant 31
OMIM_150300	Larynx, congenital partial atresia of
OMIM_617638	Immunodeficiency 11B with atopic dermatitis
OMIM_271700	Spondyloperipheral dysplasia
OMIM_607417	Intellectual developmental disorder, autosomal recessive 2
OMIM_151210	Platyspondylic lethal skeletal dysplasia, Torrance type
OMIM_618091	Spermatogenic failure 29
OMIM_256300	Nephrotic syndrome, type 1
OMIM_619220	Immunodeficiency 78 with autoimmunity and developmental delay
OMIM_305000	Dyskeratosis congenita, X-linked
OMIM_619215	Oculomotor-abducens synkinesis
OMIM_222730	Dicarboxylicamino aciduria
OMIM_610968	Osteogenesis imperfecta, type XI
OMIM_616920	Heart and brain malformation syndrome
OMIM_187750	Thoracic dysostosis, isolated
OMIM_617408	Diamond-Blackfan anemia 16
OMIM_269840	Immunodeficiency 48
OMIM_238800	Hypermetabolism due to defect in mitochondria
OMIM_618244	Mitochondrial complex I deficiency, nuclear type 23
OMIM_615010	Aicardi-Goutieres syndrome 6
OMIM_611544	Cataract 17, multiple types
OMIM_120970	Cone-Rod dystrophy 2
OMIM_157950	Molar I reinclusion
OMIM_276904	Usher syndrome, type IC
OMIM_272800	Tay-Sachs disease
OMIM_220120	D-glyceric aciduria
OMIM_181250	Scalp defects and postaxial polydactyly
OMIM_619339	Popliteal pterygium syndrome, Bartsocas-Papas type 2
OMIM_184700	Polycystic ovary syndrome 1
OMIM_619543	Boudin-Mortier syndrome
OMIM_614861	Deafness, autosomal recessive 98
OMIM_618829	Nabais Sa-de vries syndrome, type 2
OMIM_105120	Amyloidosis, Finnish type
OMIM_607831	Charcot-Marie-Tooth disease, axonal, type 2K
OMIM_617065	Epileptic encephalopathy, early infantile, 40
OMIM_608089	Endometrial carcinoma, somatic
OMIM_614594	Palmoplantar keratoderma, mutilating, with periorificial keratoticplaques
OMIM_614852	Microcephaly 9, primary, autosomal recessive
OMIM_604121	Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant
OMIM_616828	Congenital disorder of glycosylation, type IIO
OMIM_614103	LIPEDEMA
OMIM_618797	Neurodevelopmental disorder with hypotonia, neonatal respiratory insufficiency, and thermodysregulation
OMIM_114150	CAMPTOBRACHYDACTYLY
OMIM_300888	Hypothyroidism, central, and testicular enlargement
OMIM_609015	Mitochondrial trifunctional protein deficiency
OMIM_619055	Mitochondrial complex IV deficiency, nuclear type 12
OMIM_172800	Piebald trait
OMIM_604765	Cardiomyopathy, dilated, 1I
OMIM_130080	Ehlers-Danlos syndrome, periodontal type, 1
OMIM_193090	Transcobalamin I deficiency
OMIM_614700	Immunodeficiency, common variable, 8, with autoimmunity
OMIM_154230	46,xy sex reversal 4
OMIM_165670	Ossified ear cartilages
OMIM_618285	Developmental and epileptic encephalopathy 69
OMIM_615663	Warburg micro syndrome 4
OMIM_616208	Amyotrophic lateral sclerosis 22 with or without frontotemporal dementia
OMIM_619966	Spastic paraplegia 87, autosomal recessive
OMIM_263450	Polydactyly, postaxial, type A5
OMIM_105550	Amyotrophic lateral sclerosis and/or frontotemporal dementia 1
OMIM_125320	Dementia/parkinsonism with non-alzheimer amyloid plaques
OMIM_105563	Anal sphincter dysplasia
OMIM_616843	Lymphedema, hereditary, III
OMIM_181030	Salivary gland adenoma, pleomorphic
OMIM_234030	Hair defect with photosensitivity and mental retardation
OMIM_614936	Keratoderma, palmoplantar, punctate type IB
OMIM_309530	Mental retardation, X-linked 1
OMIM_219700	Cystic fibrosis
OMIM_212093	Cardiac valvular defect, developmental
OMIM_242100	Ichthyosis, congenital, autosomal recessive 2
OMIM_400004	RETINITIS PIGMENTOSA, Y-LINKED
OMIM_187360	Temporal arteritis
OMIM_600252	Lowry-Maclean syndrome
OMIM_613795	Loeys-Dietz syndrome 3
OMIM_615862	Nephronophthisis 18
OMIM_611523	Pontocerebellar hypoplasia, type 6
OMIM_269160	SCHIZENCEPHALY
OMIM_619111	Coach syndrome 2
OMIM_607944	Spondyloenchondrodysplasia with immune dysregulation
OMIM_608751	Cardiomyopathy, familial hypertrophic, 8
OMIM_611364	Myoclonic epilepsy, juvenile, susceptibility to, 4
OMIM_620047	Microcephaly 29, primary, autosomal recessive
OMIM_258470	Ophthalmoplegic neuromuscular disorder with abnormal mitochondria
OMIM_619598	Rhizomelic dysplasia, Ain-Naz type
OMIM_255900	Myxedema
OMIM_138070	GLUCOGLYCINURIA
OMIM_606719	Melanoma-Pancreatic cancer syndrome
OMIM_619351	Megacystis-microcolon-intestinal hypoperistalsis syndrome 2
OMIM_104000	Alopecia areata 1
OMIM_612285	Joubert syndrome 9
OMIM_610090	Pyridoxamine 5-prime-phosphate oxidase deficiency
OMIM_614616	Diarrhea 6
OMIM_201910	Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency
OMIM_619025	Combined oxidative phosphorylation deficiency 50
OMIM_610442	Spondyloepimetaphyseal dysplasia, Genevieve type
OMIM_159900	Dystonia 11, myoclonic
OMIM_106900	ANONYCHIA-ECTRODACTYLY
OMIM_619986	Immunodeficiency 107, susceptibility to invasive staphylococcus aureus infection
OMIM_617831	Mental retardation, autosomal dominant 55, with seizures
OMIM_615075	Neurodevelopmental disorder with spastic diplegia and visual defects
OMIM_619465	Visceral neuropathy, familial, 2, autosomal recessive
OMIM_300650	Albinism, ocular, with late-onset sensorineural deafness
OMIM_602085	Polydactyly, postaxial, type A2
OMIM_614486	Thrombophilia due to thrombomodulin defect
OMIM_106400	Ankylosing vertebral hyperostosis with tylosisdiffuse idiopathic skeletal hyperostosis, included
OMIM_156400	Metaphyseal chondrodysplasia, Jansen type
OMIM_618117	Ovarian dysgenesis 7
OMIM_618786	Imagawa-Matsumoto syndrome
OMIM_260660	Cousin syndrome
OMIM_613345	Hypokalemic periodic paralysis, type 2
OMIM_129750	Ectopia pupillae
OMIM_616708	Desanto-Shinawi syndrome
OMIM_614662	Cortisone reductase deficiency 2
OMIM_600416	Muscular dystrophy, scapulohumeral
OMIM_619487	Aicardi-Goutieres syndrome 9
OMIM_613122	Cardiomyopathy, dilated, 1cc
OMIM_620121	Iron overload, susceptibility to
OMIM_615412	Cortical dysplasia, complex, with other brain malformations 4
OMIM_266130	Glutathione synthetase deficiency
OMIM_612160	Histiocytoma, angiomatoid fibrous, somatic
OMIM_619122	Vertebral hypersegmentation and orofacial anomalies
OMIM_263300	Polycythemia vera
OMIM_267000	Perlman syndrome
OMIM_113000	Brachydactyly, type B1
OMIM_615558	Hypobetalipoproteinemia, familial, 1
OMIM_162600	Neuropathy, with paraprotein in serum, cerebrospinal fluid and urine
OMIM_618845	Vertebral, cardiac, renal, and limb defects syndrome 3
OMIM_616482	Achondroplasia, severe, with developmental delay and acanthosis nigricans
OMIM_269700	Lipodystrophy, congenital generalized, type 2
OMIM_158650	Muscular atrophy, malignant neurogenic
OMIM_237000	HYDROXYPROLINEMIA
OMIM_123500	Crouzon syndrome
OMIM_605130	Wiedemann-Steiner syndrome
OMIM_619217	Endove syndrome, Limb-Only type
OMIM_242880	Immunoerythromyeloid hypoplasia
OMIM_278000	Lysosomal acid lipase deficiency
OMIM_264500	Pseudouridinuria and mental defect
OMIM_615236	Woods syndrome
OMIM_619135	Ritscher-Schinzel syndrome 3
OMIM_610883	Potocki-Lupski syndrome
OMIM_615651	Leukoencephalopathy with ataxia
OMIM_615597	Congenital disorder of glycosylation, type Ix
OMIM_617403	Cutis laxa, autosomal recessive, type IID
OMIM_609975	Hyperinsulinemic hypoglycemia, familial, 4
OMIM_618815	Chromosome 1p36.33 duplication syndrome, ATAD3 gene cluster
OMIM_614628	Keratoconus 8
OMIM_314600	Wildervanck syndrome
OMIM_614732	Intrauterine growth retardation, metaphyseal dysplasia, adrenal hypoplasiacongenita, and genital anomalies
OMIM_616840	Parkinson disease 23, autosomal recessive early-onset
OMIM_618987	Immunodeficiency 73C with defective neutrophil chemotaxis and hypogammaglobulinemia
OMIM_243800	Johanson-Blizzard syndrome
OMIM_614959	Epileptic encephalopathy, early infantile, 14
OMIM_619092	Neurodevelopmental disorder with microcephaly, impaired language, epilepsy, and gait abnormalities, autosomal dominant
OMIM_611867	Chromosome 22q11.2 deletion syndrome, distal
OMIM_616486	Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain abnormalities
OMIM_613074	Deafness, autosomal dominant 50
OMIM_614458	Thiamine metabolism dysfunction syndrome 5 (episodic encephalopathy type)
OMIM_233400	Perrault syndrome 1
OMIM_216360	Coach syndrome 1
OMIM_607903	Hypotrichosis 6
OMIM_616540	Epilepsy, progressive myoclonic, 9
OMIM_613612	Congenital disorder of glycosylation, type IIi
OMIM_613603	Chromosome 4q32.1-q32.2 triplication syndrome
OMIM_141000	Hemangioma-Thrombocytopenia syndrome
OMIM_108700	Ataxia with fasciculations
OMIM_606721	Lipodystrophy, familial partial, type 7
OMIM_617974	Spondyloepimetaphyseal dysplasia, DI Rocco type
OMIM_249710	Mesomelic limb shortening and bowing
OMIM_613874	Cardiomyopathy, familial hypertrophic, 18
OMIM_601346	Martinez-Frias syndrome
OMIM_304340	Pettigrew syndrome
OMIM_619182	Gastric adenocarcinoma and proximal polyposis of the stomach
OMIM_300886	Mental retardation, X-linked, syndromic 32
OMIM_615824	Mitochondrial complex III deficiency, nuclear type 7
OMIM_618879	Neurodevelopmental disorder with hypotonia and cerebellar atrophy, with or without seizures
