disease	name	hpo
OMIM_206920	Microphthalmia with limb anomalies	HP_0001595,HP_0002982,HP_0001770,HP_0003038,HP_0002002,HP_0000581,HP_0003196,HP_0012745,HP_0001849,HP_0011220,HP_0000954,HP_0008897,HP_0000218,HP_0001626,HP_0000278,HP_0000454,HP_0000358,HP_0001249,HP_0005867,HP_0000175,HP_0000494,HP_0001762,HP_0001162,HP_0001180,HP_0005280,HP_0000528,HP_0002827,HP_0000007,HP_0000568,HP_0001830,HP_0001852,HP_0002007,HP_0001510,HP_0000204,HP_0000369,HP_0001215
OMIM_150280	LARYNGOMALACIA	HP_0004886,HP_0002098,HP_0002778,HP_0000006,HP_0001601
OMIM_615491	Spastic paraplegia 79, autosomal recessive	HP_0003676,HP_0000640,HP_0001310,HP_0002486,HP_0001272,HP_0001371,HP_0001251,HP_0002380,HP_0002061,HP_0002180,HP_0002080,HP_0007141,HP_0007663,HP_0000597,HP_0001763,HP_0002599,HP_0001249,HP_0001347,HP_0000572,HP_0002059,HP_0002411,HP_0003621,HP_0003487,HP_0001761,HP_0006938,HP_0002495,HP_0002174,HP_0002273,HP_0031993,HP_0034008,HP_0011448,HP_0010831,HP_0000529,HP_0000007,HP_0000648,HP_0002505,HP_0000768,HP_0001258,HP_0000545
OMIM_608099	Muscular dystrophy, limb-girdle, type 2D	HP_0003236,HP_0003676,HP_0003621,HP_0003797,HP_0002650,HP_0001371,HP_0003691,HP_0003391,HP_0100297,HP_0008981,HP_0001635,HP_0000007,HP_0001638,HP_0002317,HP_0006466,HP_0006785,HP_0003701,HP_0003713,HP_0003325,HP_0003557,HP_0003458,HP_0001644
OMIM_615008	Nephrotic syndrome, type 7	HP_0003774,HP_0001919,HP_0000099,HP_0003676,HP_0000100,HP_0005575,HP_0001878,HP_0000007,HP_0000093,HP_0001873,HP_0004722
OMIM_617967	Hydrocephalus, congenital, 3, with brain anomalies	HP_0003577,HP_0001561,HP_0001321,HP_0001360,HP_0012444,HP_0012642,HP_0001999,HP_0000007,HP_0001305,HP_0000238,HP_0002119,HP_0005989,HP_0002324
OMIM_617225	Spastic paraplegia 78, autosomal recessive	HP_0002322,HP_0003477,HP_0002067,HP_0002120,HP_0001272,HP_0002066,HP_0001251,HP_0000639,HP_0000738,HP_0000718,HP_0002936,HP_0002518,HP_0001268,HP_0020049,HP_0001347,HP_0002510,HP_0001300,HP_0000012,HP_0001761,HP_0003487,HP_0002495,HP_0001260,HP_0003581,HP_0010830,HP_0000605,HP_0000726,HP_0000007,HP_0007256,HP_0002527,HP_0001258
OMIM_619071	Leukodystrophy, hypomyelinating, 20	HP_0000253,HP_0001276,HP_0000473,HP_0002510,HP_0002650,HP_0003487,HP_0002376,HP_0001332,HP_0002079,HP_0011968,HP_0001272,HP_0012706,HP_0012708,HP_0000280,HP_0000737,HP_0011463,HP_0000508,HP_0012450,HP_0000007,HP_0030081,HP_0001007,HP_0001348
OMIM_614105	Methylmalonate semialdehyde dehydrogenase deficiency	HP_0000286,HP_0010804,HP_0007814,HP_0000343,HP_0002188,HP_0001332,HP_0000463,HP_0003196,HP_0001252,HP_0003593,HP_0045034,HP_0033725,HP_0008070,HP_0000518,HP_0010055,HP_0007165,HP_0040155,HP_0000954,HP_0000316,HP_0000414,HP_0002912,HP_0000218,HP_0001942,HP_0000252,HP_0000494,HP_0002079,HP_0011968,HP_0002151,HP_0001263,HP_0005280,HP_0012120,HP_0020079,HP_0000568,HP_0000348,HP_0000007,HP_0002007,HP_0000322
OMIM_602499	Macrophthalmia, colobomatous, with microcornea	HP_0000486,HP_0000639,HP_0007906,HP_0000482,HP_0007663,HP_0007401,HP_0000545,HP_0000589,HP_0000006
OMIM_302045	Cardiomyopathy, dilated, 3B	HP_0003621,HP_0032232,HP_0001417,HP_0033755,HP_0001644,HP_0003557
OMIM_615780	Retinitis pigmentosa 69	HP_0001133,HP_0000550,HP_0007703,HP_0000580,HP_0000007,HP_0000510
OMIM_109100	Autoimmune disease	HP_0002960,HP_0030057,HP_0000006
OMIM_615248	Cardiomyopathy, dilated, 1KK	HP_0003621,HP_0003596,HP_0003584,HP_0005144,HP_0005110,HP_0033755,HP_0001639,HP_0011462,HP_0001635,HP_0001712,HP_0001653,HP_0000006,HP_0001644
OMIM_314580	Wieacker-Wolff syndrome	HP_0001256,HP_0001332,HP_0004322,HP_0002186,HP_0001250,HP_0001252,HP_0010806,HP_0001290,HP_0010765,HP_0000319,HP_0003307,HP_0009623,HP_0001324,HP_0000278,HP_0000252,HP_0011968,HP_0001263,HP_0012385,HP_0009890,HP_0001419,HP_0002827,HP_0002307,HP_0001257,HP_0002104,HP_0000369,HP_0000187,HP_0003577,HP_0010628,HP_0000582,HP_0000343,HP_0000463,HP_0003693,HP_0012448,HP_0000657,HP_0000218,HP_0000774,HP_0005745,HP_0000577,HP_0002059,HP_0000750,HP_0002650,HP_0001762,HP_0001284,HP_0000470,HP_0002808,HP_0000508,HP_0002804,HP_0001558,HP_0000347,HP_0002643
OMIM_615665	Joubert syndrome 22	HP_0000550,HP_0003577,HP_0000089,HP_0002079,HP_0001162,HP_0001263,HP_0004691,HP_0001290,HP_0001999,HP_0000657,HP_0007112,HP_0000568,HP_0000007,HP_0002419,HP_0007973,HP_0001511,HP_0001830,HP_0000589,HP_0002335
OMIM_616719	Spinocerebellar ataxia, autosomal recessive 21	HP_0001265,HP_0001256,HP_0001762,HP_0001399,HP_0001272,HP_0002066,HP_0001395,HP_0002240,HP_0001251,HP_0001270,HP_0007141,HP_0002936,HP_0000007,HP_0002359,HP_0001257,HP_0001744,HP_0001337,HP_0001347
OMIM_619887	Renal hypodysplasia/aplasia 4	HP_0010958,HP_0003577,HP_0002089,HP_0034198,HP_0000007,HP_0025700,HP_0002009,HP_0002878
OMIM_617907	Erythrocytosis, familial, 5	HP_0001900,HP_0001899,HP_0033644,HP_0001901,HP_0000006
OMIM_268150	Anemia, hemolytic, Rh-null, Regulator type	HP_0004446,HP_0005502,HP_0008282,HP_0001878,HP_0000952,HP_0000006
OMIM_615986	Bardet-Biedl syndrome 9	HP_0000483,HP_0003577,HP_0007737,HP_0000486,HP_0001156,HP_0000083,HP_0003074,HP_0010442,HP_0000518,HP_0000858,HP_0000510,HP_0007843,HP_0001249,HP_0000750,HP_0001162,HP_0001263,HP_0002591,HP_0100259,HP_0001959,HP_0000007,HP_0000546,HP_0001956,HP_0001159,HP_0001830,HP_0001513
OMIM_600458	Adenomyosis	HP_0001892,HP_0034326,HP_0100607,HP_0001423,HP_0000006
OMIM_619467	Usmani-Riazuddin syndrome, autosomal dominant	HP_0000343,HP_0000486,HP_0001250,HP_0000262,HP_0001252,HP_0012803,HP_0009381,HP_0000716,HP_0011220,HP_0000718,HP_0000739,HP_0002938,HP_0000752,HP_0001763,HP_0001249,HP_0030820,HP_0000750,HP_0001263,HP_0004691,HP_0000729,HP_0000646,HP_0000722,HP_0100716,HP_0000768,HP_0004209,HP_0002007,HP_0000565,HP_0002942,HP_0001257,HP_0000006
OMIM_300147	Prostate cancer, hereditary, X-linked 1	HP_0001417,HP_0012125
OMIM_619959	ACCES syndrome	HP_0003577,HP_0000486,HP_0000085,HP_0001270,HP_0001508,HP_0007385,HP_0000411,HP_0002558,HP_0000278,HP_0009921,HP_0002575,HP_0001385,HP_0000750,HP_0011968,HP_0001263,HP_0100257,HP_0002827,HP_0000729,HP_0001839,HP_0002209,HP_0000348,HP_0004209,HP_0002205,HP_0000369,HP_0000006
OMIM_611383	Usher syndrome, type IID	HP_0003577,HP_0000365,HP_0001751,HP_0000662,HP_0000007,HP_0000510
OMIM_611879	Cardiomyopathy, dilated, 1Z	HP_0003596,HP_0003584,HP_0011462,HP_0001635,HP_0000006,HP_0001645,HP_0001644
OMIM_610489	Pigmented nodular adrenocortical disease, primary, 1	HP_0000939,HP_0000716,HP_0012030,HP_0000938,HP_0011462,HP_0000739,HP_0000712,HP_0000978,HP_0000713,HP_0000311,HP_0001268,HP_0003466,HP_0003621,HP_0001580,HP_0001065,HP_0030088,HP_0031214,HP_0000709,HP_0002808,HP_0000869,HP_0000822,HP_0001956,HP_0003118,HP_0002920,HP_0000006,HP_0000963,HP_0001579
OMIM_613291	Bile acid malabsorption, primary	HP_0002630,HP_0034043,HP_0001508,HP_0002570,HP_0000007,HP_0001510,HP_0002028,HP_0003623
OMIM_107200	Anosmia, congenital	HP_0000458,HP_0000006
OMIM_268000	Retinitis pigmentosa	HP_0001133,HP_0000662,HP_0031605,HP_0001419,HP_0000007,HP_0000510,HP_0000006
OMIM_605282	Temtamy preaxial brachydactyly syndrome	HP_0002553,HP_0000175,HP_0001234,HP_0008619,HP_0002002,HP_0001156,HP_0000691,HP_0000592,HP_0001263,HP_0010049,HP_0010743,HP_0011087,HP_0000316,HP_0000007,HP_0000648,HP_0008368,HP_0030084,HP_0000664,HP_0001159,HP_0009702,HP_0001357,HP_0000699,HP_0002974
OMIM_611721	Combined saposin deficiency	HP_0002487,HP_0003577,HP_0002079,HP_0003487,HP_0004343,HP_0011968,HP_0001252,HP_0002240,HP_0002380,HP_0001290,HP_0011169,HP_0002529,HP_0000007,HP_0002518,HP_0000648,HP_0001522,HP_0007305,HP_0001744,HP_0001336
OMIM_208100	Arthrogryposis multiplex congenita, Neurogenic type	HP_0003202,HP_0003577,HP_0001762,HP_0003198,HP_0002803,HP_0000007,HP_0030680,HP_0002804
OMIM_610713	Brachydactyly-Syndactyly syndrome	HP_0012385,HP_0012165,HP_0001156,HP_0011927,HP_0006101,HP_0001159,HP_0009803
OMIM_165550	Optic nerve hypoplasia	HP_0000609,HP_0007968,HP_0000639,HP_0007663,HP_0025514,HP_0000505,HP_0012521,HP_0000006
OMIM_600593	Craniosynostosis, Adelaide type	HP_0001363,HP_0005776,HP_0010164,HP_0010230,HP_0006110,HP_0001822,HP_0000006,HP_0006118
OMIM_262020	Pilodental dysplasia with refractive errors	HP_0000431,HP_0001597,HP_0000540,HP_0002299,HP_0000968,HP_0011065,HP_0000668,HP_0002209,HP_0000007,HP_0007588,HP_0007502,HP_0004779
OMIM_618396	Epileptic encephalopathy, early infantile, 74	HP_0001344,HP_0000639,HP_0003593,HP_0001290,HP_0200134,HP_0011344,HP_0000006
OMIM_601214	Naxos disease	HP_0002224,HP_0002224,HP_0002224,HP_0003577,HP_0001030,HP_0011712,HP_0011675,HP_0045075,HP_0100792,HP_0008392,HP_0031193,HP_0001806,HP_0001627,HP_0001962,HP_0006677,HP_0007447,HP_0001645,HP_0001644,HP_0002212,HP_0004751,HP_0001640,HP_0002231,HP_0025092,HP_0010872,HP_0011663,HP_0008066,HP_0006682,HP_0001635,HP_0000007,HP_0004308,HP_0008404,HP_0001279,HP_0000982,HP_0000982,HP_0001699,HP_0000962
OMIM_256150	NEPHROSIALIDOSIS	HP_0000112,HP_0000100,HP_0001541,HP_0004333,HP_0000083,HP_0003593,HP_0010864,HP_0003819,HP_0000924,HP_0001939,HP_0001999,HP_0000007,HP_0001698
OMIM_258200	Oliver syndrome	HP_0001162,HP_0000007,HP_0001249
OMIM_615191	Lissencephaly 5	HP_0003676,HP_0000365,HP_0002365,HP_0001250,HP_0002085,HP_0001252,HP_0002282,HP_0001270,HP_0007260,HP_0100307,HP_0000518,HP_0000238,HP_0000256,HP_0001249,HP_0001320,HP_0032409,HP_0002079,HP_0002132,HP_0002352,HP_0001263,HP_0011344,HP_0000007,HP_0000648,HP_0001258,HP_0002500
OMIM_619680	Marbach-Schaaf neurodevelopmental syndrome	HP_0000341,HP_0000286,HP_0000582,HP_0000483,HP_0003577,HP_0001156,HP_0001250,HP_0003593,HP_0012745,HP_0040082,HP_0000718,HP_0000219,HP_0002714,HP_0000455,HP_0000311,HP_0000358,HP_0000473,HP_0000176,HP_0000252,HP_0000750,HP_0002870,HP_0001263,HP_0001182,HP_0032005,HP_0005280,HP_0100023,HP_0010677,HP_4000079,HP_0000729,HP_0011098,HP_0000601,HP_0000403,HP_0001319,HP_0000565,HP_0001357,HP_0007018,HP_0000006,HP_0001337,HP_0001513
OMIM_247630	Lymphoid system deterioration, progressive	HP_0002850,HP_0000007,HP_0001888,HP_0002843,HP_0004315
OMIM_251255	Jawad syndrome	HP_0003577,HP_0000340,HP_0001263,HP_0004220,HP_0004692,HP_0005780,HP_0100259,HP_0000718,HP_0011451,HP_0000448,HP_0000007,HP_0001822,HP_0000278,HP_0002943,HP_0001249,HP_0006216,HP_0001798
OMIM_611895	Amyotrophic lateral sclerosis 9	HP_0003693,HP_0002460,HP_0007354,HP_0001257,HP_0000006
OMIM_173200	Pityriasis rubra pilaris	HP_0008392,HP_0025474,HP_0001036,HP_0032152,HP_0025114,HP_0003593,HP_0000656,HP_0040162,HP_0000982,HP_0000006
OMIM_609654	Short stature and facioauriculothoracic malformations	HP_0000396,HP_0000891,HP_0000175,HP_0000252,HP_0003310,HP_0000470,HP_0001629,HP_0000508,HP_0008551,HP_0000767,HP_0000007,HP_0003508,HP_0000218,HP_0000768,HP_0000378,HP_0000204,HP_0000369
OMIM_603284	Cerebral cavernous malformations 2	HP_0001342,HP_0001297,HP_0001250,HP_0001009,HP_0033522,HP_0002315,HP_0000006
OMIM_203000	Frontonasal dysplasia with alar clefts	HP_0000430,HP_0000506,HP_0000007,HP_0003191
DECIPHER_18	1p36 microdeletion syndrome	HP_0001250,HP_0000490,HP_0000270,HP_0001252,HP_0000307,HP_0001249
OMIM_300519	Mental retardation, X-linked, syndromic, Martin-Probst type	HP_0000286,HP_0004322,HP_0000083,HP_0000041,HP_0001009,HP_0000316,HP_0006610,HP_0002557,HP_0000179,HP_0001249,HP_0000154,HP_0000054,HP_0000252,HP_0000431,HP_0000272,HP_0045025,HP_0000093,HP_0001419,HP_0000506,HP_0000407,HP_0001537,HP_0000821,HP_0000689,HP_0000048,HP_0001876,HP_0000545,HP_0000347,HP_0000369,HP_0000028
OMIM_616026	Fanconi renotubular syndrome 4 with maturity-onset diabetes of the young	HP_0000121,HP_0001520,HP_0004322,HP_0003355,HP_0003155,HP_0002240,HP_0003076,HP_0000093,HP_0000819,HP_0002748,HP_0001943,HP_0003109,HP_0003537,HP_0002910,HP_0001942,HP_0002148,HP_0000006,HP_0003623
OMIM_117550	Sotos syndrome	HP_0002389,HP_0004324,HP_0001176,HP_0000486,HP_0001250,HP_0025268,HP_0001252,HP_0002020,HP_0045075,HP_0000639,HP_0011463,HP_0000718,HP_0011220,HP_0011461,HP_0010493,HP_0000316,HP_0006155,HP_0002857,HP_0001643,HP_0001763,HP_0001249,HP_0000358,HP_0003623,HP_0000494,HP_0000098,HP_0001344,HP_0002474,HP_0001388,HP_0011968,HP_0001263,HP_0009890,HP_0002705,HP_0001338,HP_0009931,HP_0000405,HP_0005616,HP_0000565,HP_0000400,HP_0000006,HP_0000369,HP_0000325,HP_0001792,HP_0000189,HP_0000463,HP_0000540,HP_0012801,HP_0001270,HP_0002280,HP_0001629,HP_0100702,HP_0001548,HP_0001548,HP_0001548,HP_0001548,HP_0001548,HP_0000337,HP_0002119,HP_0000218,HP_0000455,HP_0000256,HP_0006579,HP_0001347,HP_0000077,HP_0000275,HP_0000750,HP_0002650,HP_0000276,HP_0002572,HP_0002370,HP_0005280,HP_0011623,HP_0006288,HP_0001558,HP_0000348,HP_0001833,HP_0001998,HP_0001319,HP_0000307,HP_0000268,HP_0002007,HP_0001631,HP_0007018,HP_0000388,HP_0000028,HP_0000303,HP_0001952
OMIM_619805	Spermatogenic failure 68	HP_0003251,HP_0011462,HP_0012205
OMIM_613075	Macrocephaly, alopecia, cutis laxa, and scoliosis	HP_0004325,HP_0000286,HP_0004322,HP_0001252,HP_0003593,HP_0000280,HP_0045075,HP_0012471,HP_0012472,HP_0000954,HP_0007204,HP_0001763,HP_0000494,HP_0001388,HP_0001382,HP_0002110,HP_0001582,HP_0011003,HP_0012378,HP_0100540,HP_0000767,HP_0001537,HP_0000007,HP_0000343,HP_0001596,HP_0001156,HP_0003010,HP_0008070,HP_0000939,HP_0000815,HP_0040079,HP_0000978,HP_0000218,HP_0000977,HP_0000212,HP_0001620,HP_0000256,HP_0000974,HP_0000973,HP_0002650,HP_0000431,HP_0011107,HP_0012520,HP_0008064,HP_0008661,HP_0000348,HP_0000028,HP_0000347,HP_0004942
OMIM_619548	Usmani-Riazuddin syndrome, autosomal recessive	HP_0000286,HP_0030953,HP_0000750,HP_0001388,HP_0001250,HP_0001274,HP_0001263,HP_0001252,HP_0000718,HP_0000316,HP_0000767,HP_0000007,HP_0000218,HP_0004626,HP_0001257,HP_0001249,HP_0000336,HP_0000369,HP_0000358
OMIM_101800	Acrodysostosis 1, with or without hormone resistance	HP_0000286,HP_0000684,HP_0000365,HP_0000486,HP_0001530,HP_0004322,HP_0000122,HP_0010049,HP_0008450,HP_0011342,HP_0000635,HP_0000316,HP_0000238,HP_0001847,HP_0001169,HP_0001249,HP_0000995,HP_0003165,HP_0011800,HP_0004490,HP_0003083,HP_0033579,HP_0002905,HP_0000327,HP_0000689,HP_0000648,HP_0005616,HP_0000006,HP_0000248,HP_0000463,HP_0001156,HP_0010743,HP_0000858,HP_0010230,HP_0008873,HP_0008479,HP_0003528,HP_0000455,HP_0000851,HP_0000135,HP_0009803,HP_0002650,HP_0004279,HP_0005280,HP_0010655,HP_0001518,HP_0000668,HP_0002925,HP_0001511,HP_0003416,HP_0000028,HP_0000303,HP_0005756
OMIM_612631	Adenylate kinase deficiency, hemolytic anemia due to	HP_0001878,HP_0000007
OMIM_214110	Peroxisome biogenesis disorder 2A (Zellweger)	HP_0003455,HP_0000286,HP_0007759,HP_0000582,HP_0003355,HP_0001250,HP_0001252,HP_0000262,HP_0002240,HP_0000580,HP_0011039,HP_0001290,HP_0001093,HP_0012103,HP_0000518,HP_0001508,HP_0000316,HP_0000778,HP_0000239,HP_0000954,HP_0030680,HP_0001627,HP_0001401,HP_0001840,HP_0000113,HP_0001249,HP_0000952,HP_0001088,HP_0000175,HP_0001762,HP_0002033,HP_0001284,HP_0100540,HP_0012385,HP_0003819,HP_0009473,HP_0000007,HP_0000348,HP_0008665,HP_0002967,HP_0000268,HP_0001511,HP_0002104,HP_0000028,HP_0000347,HP_0002764
OMIM_614500	Cone-Rod dystrophy 16	HP_0007737,HP_0000662,HP_0025147,HP_0100259,HP_0000529,HP_0000518,HP_0000613,HP_0000007,HP_0007663,HP_0000548,HP_0007401,HP_0000543,HP_0000510,HP_0007843
OMIM_619775	Congenital disorder of deglycosylation 2	HP_0002444,HP_0000365,HP_0000480,HP_0002000,HP_0001252,HP_0002282,HP_0001270,HP_0033725,HP_0011265,HP_0009487,HP_0002816,HP_0008551,HP_0000316,HP_0002119,HP_0000735,HP_0000218,HP_0000158,HP_0000256,HP_0001249,HP_0001320,HP_0002553,HP_0002015,HP_0000750,HP_0011802,HP_0032327,HP_0011304,HP_0000007,HP_0001338,HP_0000348,HP_0001852,HP_0000960,HP_0000347,HP_0002126,HP_0000324,HP_0001776
OMIM_156900	Microphthalmia, isolated, with corectopia	HP_0009918,HP_0000568,HP_0000006,HP_0000545
OMIM_192430	Velocardiofacial syndrome	HP_0001155,HP_0000220,HP_0005435,HP_0006549,HP_0000023,HP_0004322,HP_0000581,HP_0001252,HP_0011611,HP_0011999,HP_0012841,HP_0002719,HP_0001629,HP_0000718,HP_0000712,HP_0001328,HP_0000414,HP_0004935,HP_0000598,HP_0000278,HP_0001249,HP_0000176,HP_0000175,HP_0000252,HP_0001883,HP_0000430,HP_0000194,HP_0045025,HP_0000829,HP_0011590,HP_0000627,HP_0002627,HP_0001636,HP_0001537,HP_0002901,HP_0000201,HP_0000006,HP_0000028,HP_0001611
OMIM_618604	Snijders Blok-Fisher syndrome	HP_0002179,HP_0000297,HP_0000286,HP_0000750,HP_0002188,HP_0002079,HP_0001266,HP_0001250,HP_0001263,HP_0002360,HP_0001290,HP_0002172,HP_0000729,HP_0002307,HP_0000378,HP_0000411,HP_0040326,HP_0001257,HP_0000006,HP_0001249,HP_0000028
OMIM_300985	Vas deferens, congenital bilateral aplasia of, X-linked	HP_0003251,HP_0011462,HP_0001417,HP_0012873,HP_0000027
OMIM_614298	Neurodegeneration with brain iron accumulation 4	HP_0002366,HP_0003236,HP_0003676,HP_0001332,HP_0001272,HP_0003693,HP_0003691,HP_0001251,HP_0002460,HP_0002180,HP_0012048,HP_0000716,HP_0011463,HP_0011462,HP_0000712,HP_0007002,HP_0007325,HP_0001268,HP_0001347,HP_0001265,HP_0002454,HP_0003621,HP_0000750,HP_0001300,HP_0003487,HP_0001288,HP_0001761,HP_0001260,HP_0001263,HP_0002071,HP_0100710,HP_0100315,HP_0000529,HP_0000726,HP_0000007,HP_0007256,HP_0000648,HP_0002505,HP_0001257,HP_0000006,HP_0001337
OMIM_613310	Exudative vitreoretinopathy 5	HP_0000594,HP_0007917,HP_0001493,HP_0007663,HP_0000505,HP_0030490,HP_0001147,HP_0000006
OMIM_144755	Hyperostosis cranialis interna	HP_0009926,HP_0010628,HP_0003621,HP_0001751,HP_0000265,HP_0007906,HP_0000360,HP_0005890,HP_0004490,HP_0000407,HP_0007099,HP_0011462,HP_0200026,HP_0004409,HP_0007663,HP_0000458,HP_0000648,HP_0002315,HP_0000520,HP_0000006,HP_0005746
OMIM_614929	Ectodermal dysplasia 7, Hair/nail type	HP_0000164,HP_0003577,HP_0002299,HP_0001596,HP_0045075,HP_0008391,HP_0001806,HP_0002209,HP_0000007,HP_0000653,HP_0000971,HP_0007436,HP_0001810,HP_0000951
OMIM_619868	Cholestasis, progressive familial intrahepatic, 10	HP_0031956,HP_0003124,HP_0004322,HP_0003573,HP_0003593,HP_0002240,HP_0003073,HP_0030948,HP_0012202,HP_0031964,HP_0011985,HP_0002908,HP_0006580,HP_0001508,HP_0011463,HP_0000007,HP_0000989,HP_0001744,HP_0000952
OMIM_602114	Nephropathy, progressive tubulointerstitial, with cholestatic liverdisease	HP_0000112,HP_0001969,HP_0000007,HP_0002910,HP_0012622,HP_0002611
OMIM_613319	Miyoshi muscular dystrophy 3	HP_0003236,HP_0003551,HP_0003581,HP_0003828,HP_0008981,HP_0002460,HP_0009046,HP_0003560,HP_0000007,HP_0009050
OMIM_266600	Inflammatory bowel disease 1, Crohn disease	HP_0002014,HP_0002037,HP_0005214,HP_0100279,HP_0100280,HP_0032154,HP_0001426,HP_0001824,HP_0001510,HP_0002027,HP_0011107
OMIM_617804	Neurodevelopmental disorder with severe motor impairment and absent language	HP_0000286,HP_0000486,HP_0001212,HP_0002540,HP_0002188,HP_0001332,HP_0001250,HP_0010808,HP_0001252,HP_0003593,HP_0001251,HP_0045074,HP_0000319,HP_0000957,HP_0000954,HP_0001763,HP_0001169,HP_0000358,HP_0001249,HP_0001265,HP_0003763,HP_0000252,HP_0000494,HP_0001344,HP_0001382,HP_0011968,HP_0001263,HP_0002072,HP_0001182,HP_0000729,HP_0000400,HP_0009899,HP_0000963,HP_0000369,HP_0000006,HP_0001272,HP_0002360,HP_0012724,HP_0001270,HP_0002119,HP_0012171,HP_0000218,HP_0000274,HP_0002059,HP_0002650,HP_0000750,HP_0000276,HP_0000232,HP_0031936,HP_0000194,HP_0005280,HP_0032988,HP_0011304,HP_0000349,HP_0000348,HP_0000664,HP_0000303,HP_0004305
OMIM_610842	Pseudoxanthoma elasticum-like disorder with multiple coagulation factor deficiency	HP_0001892,HP_0001102,HP_0011858,HP_0033027,HP_0008151,HP_0008321,HP_0011462,HP_0008169,HP_0000007,HP_0000421,HP_0025507,HP_0002621,HP_0000973
OMIM_270800	Spastic paraplegia 5A, autosomal recessive	HP_0003676,HP_0002166,HP_0003596,HP_0000020,HP_0002064,HP_0002061,HP_0100543,HP_0000518,HP_0000639,HP_0007340,HP_0011463,HP_0011462,HP_0003107,HP_0009129,HP_0001347,HP_0003621,HP_0006858,HP_0002650,HP_0001761,HP_0003487,HP_0003484,HP_0001260,HP_0002174,HP_0000407,HP_0007210,HP_0030890,HP_0001317,HP_0000007,HP_0000648,HP_0002406,HP_0001258,HP_0006986
OMIM_613671	Mental retardation, anterior maxillary protrusion, and strabismus	HP_0002465,HP_0000750,HP_0001388,HP_0000486,HP_0000540,HP_0001263,HP_0010807,HP_0003593,HP_0010864,HP_0000709,HP_0000646,HP_0000007,HP_0430028,HP_0000678,HP_0000736,HP_0000505,HP_0000565
OMIM_613684	Rubinstein-Taybi syndrome 2	HP_0011917,HP_0000286,HP_0003577,HP_0001256,HP_0000189,HP_0001212,HP_0000486,HP_0004322,HP_0003593,HP_0001290,HP_0010105,HP_0010055,HP_0100602,HP_0011087,HP_0000218,HP_0009765,HP_0000752,HP_0003745,HP_0000278,HP_0001007,HP_0000358,HP_0002553,HP_0000670,HP_0000494,HP_0000252,HP_0000750,HP_0000574,HP_0011968,HP_0001263,HP_0002194,HP_0011304,HP_0011094,HP_0000729,HP_0000448,HP_0000689,HP_0000527,HP_0008523,HP_0000444,HP_0001159,HP_0000006,HP_0002566,HP_0000347
OMIM_609560	Mitochondrial DNA depletion syndrome 2 (myopathic type)	HP_0003676,HP_0003236,HP_0002540,HP_0000365,HP_0003355,HP_0001250,HP_0001252,HP_0003593,HP_0001290,HP_0003690,HP_0003391,HP_0009141,HP_0000737,HP_0011463,HP_0001349,HP_0003128,HP_0003700,HP_0002059,HP_0003200,HP_0002134,HP_0011924,HP_0011925,HP_0002194,HP_0011923,HP_0003819,HP_0000007,HP_0008347,HP_0002747,HP_0008945,HP_0006887,HP_0003458
OMIM_400045	46XX sex reversal 1	HP_0000098,HP_0012245,HP_0000771,HP_0012861,HP_0011969,HP_0008232,HP_0000813,HP_0008665,HP_0001423,HP_0010459,HP_0000047,HP_0000027
OMIM_612776	Hypoglossia with situs inversus	HP_0003577,HP_0000750,HP_0001696,HP_0002098,HP_0000160,HP_0000171,HP_0002781,HP_0004395,HP_0000668,HP_0001746,HP_0008872,HP_0001748,HP_0000218,HP_0003745,HP_0000347,HP_0000369
OMIM_613485	Long QT syndrome 13	HP_0004754,HP_0001695,HP_0005184,HP_0012664,HP_0025708,HP_0001635,HP_0001962,HP_0001279,HP_0001664,HP_0000006,HP_0001678,HP_0002204,HP_0003623
OMIM_121850	Corneal fleck dystrophy	HP_0000613,HP_0007962,HP_0000006
OMIM_130720	Lateral meningocele syndrome	HP_0002144,HP_0004322,HP_0003396,HP_0003199,HP_0001252,HP_0003194,HP_0000319,HP_0001647,HP_0000316,HP_0000678,HP_0000238,HP_0001643,HP_0000358,HP_0001249,HP_0000011,HP_0000494,HP_0000175,HP_0002870,HP_0001382,HP_0004452,HP_0001263,HP_0100775,HP_0010562,HP_0002948,HP_0000767,HP_0001537,HP_0000405,HP_0000006,HP_0000369,HP_0001611,HP_0003577,HP_0000343,HP_0004586,HP_0000023,HP_0002684,HP_0001270,HP_0001629,HP_0100702,HP_0000218,HP_0002435,HP_0002694,HP_0002650,HP_0000272,HP_0002691,HP_0000470,HP_0002808,HP_0000506,HP_0007099,HP_0000508,HP_0002208,HP_0000268,HP_0002645,HP_0000028,HP_0000347,HP_0004942
OMIM_609441	Acromesomelic dysplasia, Demirhan type	HP_0001156,HP_0100864,HP_0009381,HP_0010034,HP_0000815,HP_0008232,HP_0008873,HP_0009466,HP_0001769,HP_0009702,HP_0009803,HP_0005028,HP_0009826,HP_0001762,HP_0000013,HP_0002750,HP_0003022,HP_0002990,HP_0011969,HP_0009596,HP_0000007,HP_0008368,HP_0001831,HP_0000786,HP_0001776
OMIM_607476	Newfoundland rod-cone dystrophy	HP_0000662,HP_0000551,HP_0000007,HP_0000505,HP_0000575,HP_0000556
OMIM_614111	Pyruvate dehydrogenase E1-beta deficiency	HP_0001265,HP_0001274,HP_0001263,HP_0001290,HP_0000007,HP_0001987,HP_0003128
